Hour,lat,lon,CD
0,22.83043,115.83849,2
0,22.83043,115.8511,1
0,22.83043,115.86372,4
0,22.83043,115.87633,1
0,22.83043,115.88894,3
0,22.83043,115.90155,1
0,22.83043,115.91416,5
0,22.83043,115.92678,6
0,22.83043,115.93939,2
0,22.83043,115.952,7
0,22.83043,115.96461,1
0,22.83043,115.97722,4
0,22.83043,115.98983,2
0,22.83043,116.00245,0
0,22.83043,116.01506,0
0,22.83043,116.02767,0
0,22.83043,116.04028,0
0,22.83043,116.05289,0
0,22.83043,116.0655,0
0,22.83043,116.07812,2
0,22.83043,116.09073,6
0,22.83043,116.10334,2
0,22.83043,116.11595,3
0,22.83043,116.12856,0
0,22.83043,116.14118,0
0,22.83043,116.15379,0
0,22.84166,114.93044,4
0,22.84166,114.94306,2
0,22.84166,114.95567,2
0,22.84166,114.96828,5
0,22.84166,114.98089,3
0,22.84166,114.9935,2
0,22.84166,115.00611,2
0,22.84166,115.01873,2
0,22.84166,115.03134,3
0,22.84166,115.04395,2
0,22.84166,115.05656,0
0,22.84166,115.06917,1
0,22.84166,115.08179,2
0,22.84166,115.0944,1
0,22.84166,115.10701,3
0,22.84166,115.11962,1
0,22.84166,115.13223,1
0,22.84166,115.14484,0
0,22.84166,115.15746,3
0,22.84166,115.17007,3
0,22.84166,115.18268,2
0,22.84166,115.19529,3
0,22.84166,115.2079,2
0,22.84166,115.22051,3
0,22.84166,115.23313,3
0,22.84166,115.24574,0
0,22.84166,115.25835,0
0,22.84166,115.27096,1
0,22.84166,115.28357,0
0,22.84166,115.29619,4
0,22.84166,115.3088,11
0,22.84166,115.32141,7
0,22.84166,115.33402,7
0,22.84166,115.34663,4
0,22.84166,115.35924,8
0,22.84166,115.37186,3
0,22.84166,115.38447,7
0,22.84166,115.39708,3
0,22.84166,115.40969,0
0,22.84166,115.4223,4
0,22.84166,115.43492,2
0,22.84166,115.44753,2
0,22.84166,115.46014,1
0,22.84166,115.47275,2
0,22.84166,115.48536,1
0,22.84166,115.49797,2
0,22.84166,115.51059,2
0,22.84166,115.5232,5
0,22.84166,115.53581,3
0,22.84166,115.54842,2
0,22.84166,115.56103,0
0,22.84166,115.57365,2
0,22.84166,115.58626,0
0,22.84166,115.59887,0
0,22.84166,115.61148,0
0,22.84166,115.62409,0
0,22.84166,115.68715,0
0,22.84166,115.69976,1
0,22.84166,115.71237,1
0,22.84166,115.72499,1
0,22.84166,115.7376,2
0,22.84166,115.75021,0
0,22.84166,115.76282,4
0,22.84166,115.77543,2
0,22.84166,115.78805,3
0,22.84166,115.80066,5
0,22.84166,115.81327,1
0,22.84166,115.82588,1
0,22.84166,115.83849,4
0,22.84166,115.8511,6
0,22.84166,115.86372,3
0,22.84166,115.87633,6
0,22.84166,115.88894,3
0,22.84166,115.90155,2
0,22.84166,115.91416,4
0,22.84166,115.92678,2
0,22.84166,115.93939,2
0,22.84166,115.952,6
0,22.84166,115.96461,4
0,22.84166,115.97722,2
0,22.84166,115.98983,3
0,22.84166,116.00245,6
0,22.84166,116.01506,6
0,22.84166,116.02767,3
0,22.84166,116.04028,0
0,22.84166,116.05289,5
0,22.84166,116.0655,0
0,22.84166,116.07812,1
0,22.84166,116.09073,3
0,22.84166,116.10334,3
0,22.84166,116.11595,3
0,22.84166,116.12856,6
0,22.84166,116.14118,3
0,22.84166,116.15379,0
0,22.84166,116.1664,0
0,22.85289,114.93044,3
0,22.85289,114.94306,2
0,22.85289,114.95567,0
0,22.85289,114.96828,3
0,22.85289,114.98089,2
0,22.85289,114.9935,1
0,22.85289,115.00611,6
0,22.85289,115.01873,1
0,22.85289,115.03134,1
0,22.85289,115.04395,3
0,22.85289,115.05656,0
0,22.85289,115.06917,4
0,22.85289,115.08179,1
0,22.85289,115.0944,2
0,22.85289,115.10701,1
0,22.85289,115.11962,0
0,22.85289,115.13223,0
0,22.85289,115.14484,0
0,22.85289,115.15746,1
0,22.85289,115.17007,3
0,22.85289,115.18268,3
0,22.85289,115.19529,6
0,22.85289,115.2079,2
0,22.85289,115.22051,4
0,22.85289,115.23313,2
0,22.85289,115.24574,2
0,22.85289,115.25835,1
0,22.85289,115.27096,1
0,22.85289,115.28357,1
0,22.85289,115.29619,0
0,22.85289,115.3088,9
0,22.85289,115.32141,6
0,22.85289,115.33402,11
0,22.85289,115.34663,5
0,22.85289,115.35924,2
0,22.85289,115.37186,4
0,22.85289,115.38447,2
0,22.85289,115.39708,0
0,22.85289,115.40969,1
0,22.85289,115.4223,2
0,22.85289,115.43492,2
0,22.85289,115.44753,2
0,22.85289,115.46014,0
0,22.85289,115.47275,5
0,22.85289,115.48536,3
0,22.85289,115.49797,4
0,22.85289,115.51059,2
0,22.85289,115.5232,3
0,22.85289,115.53581,2
0,22.85289,115.54842,4
0,22.85289,115.56103,4
0,22.85289,115.57365,0
0,22.85289,115.58626,2
0,22.85289,115.59887,1
0,22.85289,115.61148,0
0,22.85289,115.62409,0
0,22.85289,115.6367,0
0,22.85289,115.64932,0
0,22.85289,115.66193,0
0,22.85289,115.67454,0
0,22.85289,115.68715,0
0,22.85289,115.69976,3
0,22.85289,115.71237,1
0,22.85289,115.72499,4
0,22.85289,115.7376,5
0,22.85289,115.75021,4
0,22.85289,115.76282,5
0,22.85289,115.77543,2
0,22.85289,115.78805,2
0,22.85289,115.80066,0
0,22.85289,115.81327,7
0,22.85289,115.82588,2
0,22.85289,115.83849,7
0,22.85289,115.8511,5
0,22.85289,115.86372,5
0,22.85289,115.87633,1
0,22.85289,115.88894,4
0,22.85289,115.90155,4
0,22.85289,115.91416,4
0,22.85289,115.92678,3
0,22.85289,115.93939,2
0,22.85289,115.952,4
0,22.85289,115.96461,4
0,22.85289,115.97722,1
0,22.85289,115.98983,3
0,22.85289,116.00245,1
0,22.85289,116.01506,3
0,22.85289,116.02767,3
0,22.85289,116.04028,2
0,22.85289,116.05289,14
0,22.85289,116.0655,0
0,22.85289,116.07812,1
0,22.85289,116.09073,4
0,22.85289,116.10334,2
0,22.85289,116.11595,5
0,22.85289,116.12856,3
0,22.85289,116.14118,1
0,22.85289,116.15379,6
0,22.85289,116.1664,0
0,22.85289,116.17901,0
0,22.86412,114.93044,0
0,22.86412,114.94306,0
0,22.86412,114.95567,0
0,22.86412,114.96828,0
0,22.86412,114.98089,0
0,22.86412,114.9935,0
0,22.86412,115.00611,0
0,22.86412,115.01873,0
0,22.86412,115.03134,0
0,22.86412,115.04395,0
0,22.86412,115.05656,0
0,22.86412,115.06917,0
0,22.86412,115.08179,0
0,22.86412,115.0944,0
0,22.86412,115.10701,0
0,22.86412,115.11962,0
0,22.86412,115.13223,0
0,22.86412,115.14484,0
0,22.86412,115.15746,0
0,22.86412,115.17007,0
0,22.86412,115.18268,0
0,22.86412,115.19529,0
0,22.86412,115.2079,0
0,22.86412,115.22051,0
0,22.86412,115.23313,0
0,22.86412,115.24574,0
0,22.86412,115.25835,0
0,22.86412,115.27096,0
0,22.86412,115.28357,0
0,22.86412,115.29619,0
0,22.86412,115.3088,0
0,22.86412,115.32141,0
0,22.86412,115.33402,0
0,22.86412,115.34663,0
0,22.86412,115.35924,0
0,22.86412,115.37186,0
0,22.86412,115.38447,0
0,22.86412,115.39708,0
0,22.86412,115.40969,0
0,22.86412,115.4223,0
0,22.86412,115.43492,0
0,22.86412,115.44753,0
0,22.86412,115.46014,0
0,22.86412,115.47275,0
0,22.86412,115.48536,0
0,22.86412,115.49797,0
0,22.86412,115.51059,0
0,22.86412,115.5232,0
0,22.86412,115.53581,0
0,22.86412,115.54842,0
0,22.86412,115.56103,0
0,22.86412,115.57365,0
0,22.86412,115.58626,0
0,22.86412,115.59887,0
0,22.86412,115.61148,0
0,22.86412,115.62409,0
0,22.86412,115.6367,0
0,22.86412,115.64932,0
0,22.86412,115.66193,0
0,22.86412,115.67454,0
0,22.86412,115.68715,0
0,22.86412,115.69976,0
0,22.86412,115.71237,0
0,22.86412,115.72499,0
0,22.86412,115.7376,0
0,22.86412,115.75021,0
0,22.86412,115.76282,0
0,22.86412,115.77543,0
0,22.86412,115.78805,0
0,22.86412,115.80066,0
0,22.86412,115.81327,0
0,22.86412,115.82588,0
0,22.86412,115.83849,0
0,22.86412,115.8511,0
0,22.86412,115.86372,0
0,22.86412,115.87633,0
0,22.86412,115.88894,0
0,22.86412,115.90155,0
0,22.86412,115.91416,0
0,22.86412,115.92678,0
0,22.86412,115.93939,0
0,22.86412,115.952,0
0,22.86412,115.96461,0
0,22.86412,115.97722,0
0,22.86412,115.98983,0
0,22.86412,116.00245,0
0,22.86412,116.01506,0
0,22.86412,116.02767,0
0,22.86412,116.04028,0
0,22.86412,116.05289,0
0,22.86412,116.0655,0
0,22.86412,116.07812,0
0,22.86412,116.09073,0
0,22.86412,116.10334,0
0,22.86412,116.11595,0
0,22.86412,116.12856,0
0,22.86412,116.14118,0
0,22.86412,116.15379,0
0,22.86412,116.1664,0
0,22.86412,116.17901,0
0,22.86412,116.19162,0
0,22.87535,114.93044,2
0,22.87535,114.94306,2
0,22.87535,114.95567,2
0,22.87535,114.96828,4
0,22.87535,114.98089,1
0,22.87535,114.9935,0
0,22.87535,115.00611,0
0,22.87535,115.01873,2
0,22.87535,115.03134,2
0,22.87535,115.04395,3
0,22.87535,115.05656,2
0,22.87535,115.06917,3
0,22.87535,115.08179,6
0,22.87535,115.0944,1
0,22.87535,115.10701,2
0,22.87535,115.11962,0
0,22.87535,115.13223,1
0,22.87535,115.14484,0
0,22.87535,115.15746,0
0,22.87535,115.17007,1
0,22.87535,115.18268,3
0,22.87535,115.19529,1
0,22.87535,115.2079,5
0,22.87535,115.22051,3
0,22.87535,115.23313,2
